Date,Expiry Date,Call Last,Call Bid,Call Ask,Put Last,Put Bid,Put Ask,Strike Price,Underlying Price
 2023-01-03, 2023-01-13,9.75,10.2,10.35,0.91,0.92,0.93,116.0,125.01
 2023-01-03, 2023-01-13,9.5,9.4,9.6,1.09,1.09,1.11,117.0,125.01
 2023-01-03, 2023-01-13,8.69,8.6,8.7,1.27,1.28,1.3,118.0,125.01
 2023-01-03, 2023-01-13,7.7,7.8,7.9,1.5,1.52,1.53,119.0,125.01
 2023-01-03, 2023-01-13,7.15,7.05,7.15,1.75,1.77,1.79,120.0,125.01
 2023-01-03, 2023-01-13,6.31,6.35,6.45,2.04,2.06,2.08,121.0,125.01
 2023-01-03, 2023-01-13,5.72,5.7,5.75,2.39,2.39,2.41,122.0,125.01
 2023-01-03, 2023-01-13,4.85,5.05,5.15,2.74,2.76,2.78,123.0,125.01
 2023-01-03, 2023-01-13,4.55,4.45,4.55,3.15,3.15,3.2,124.0,125.01
 2023-01-03, 2023-01-13,4.05,3.9,3.95,3.55,3.6,3.65,125.0,125.01
 2023-01-03, 2023-01-13,3.5,3.4,3.45,4.05,4.05,4.1,126.0,125.01
 2023-01-03, 2023-01-13,2.99,2.92,2.95,4.59,4.6,4.65,127.0,125.01
 2023-01-03, 2023-01-13,2.54,2.5,2.52,5.12,5.15,5.2,128.0,125.01
 2023-01-03, 2023-01-13,2.17,2.1,2.12,5.7,5.7,5.8,129.0,125.01
 2023-01-03, 2023-01-13,1.79,1.76,1.78,6.45,6.4,6.5,130.0,125.01
 2023-01-03, 2023-01-13,1.51,1.46,1.48,7.27,7.1,7.2,131.0,125.01
 2023-01-03, 2023-01-13,1.21,1.2,1.21,8.03,7.85,7.95,132.0,125.01
 2023-01-03, 2023-01-13,0.99,0.97,0.99,8.6,8.6,8.65,133.0,125.01
 2023-01-03, 2023-01-13,0.82,0.79,0.81,10.0,9.3,9.5,134.0,125.01
 2023-01-03, 2023-01-13,0.65,0.64,0.65,10.25,10.15,10.35,135.0,125.01
 2023-01-03, 2023-01-13,0.53,0.52,0.53,11.62,11.05,11.2,136.0,125.01
 2023-01-03, 2023-01-13,0.42,0.41,0.42,12.38,12.0,12.3,137.0,125.01
 2023-01-03, 2023-01-13,0.33,0.33,0.34,13.37,12.85,13.15,138.0,125.01
 2023-01-03, 2023-01-13,0.27,0.27,0.28,14.4,13.8,14.05,139.0,125.01
